"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GF1","KA1","EQD"
"04065099999","1916-01-08T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","999999,9,N,9","+0011,1","+9999,9","10066,1","06,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,-0039,1",
"04065099999","1916-01-08T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","999999,9,N,9","+0039,1","+9999,9","09998,1","07,99,1,99,9,99,9,99999,9,99,9,99,9",,
"04065099999","1916-01-08T21:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","270,1,N,0026,1","99999,9,9,N","999999,9,N,9","+0050,1","+9999,9","09870,2","06,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0061,1","Q01+098703APOSLP"
"04065099999","1916-01-09T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","290,1,N,0123,1","99999,9,9,N","999999,9,N,9","+0000,1","+9999,9","09898,1","07,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,-0011,1",
"04065099999","1916-01-09T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","320,1,N,0123,1","99999,9,9,N","999999,9,N,9","-0011,1","+9999,9","09887,1","07,99,1,99,9,99,9,99999,9,99,9,99,9",,
"04065099999","1916-01-09T21:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","340,1,N,0154,1","99999,9,9,N","999999,9,N,9","-0022,1","+9999,9","09863,1","07,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0011,1",
"04065099999","1916-01-10T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","340,1,N,0093,1","99999,9,9,N","999999,9,N,9","-0039,1","+9999,9","09962,1","06,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,-0061,1",
"04065099999","1916-01-10T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","340,1,N,0093,1","99999,9,9,N","999999,9,N,9","-0022,1","+9999,9","10061,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",,
"04065099999","1916-01-10T21:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","340,1,N,0123,1","99999,9,9,N","999999,9,N,9","-0022,1","+9999,9","10189,2","06,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,-0011,1","Q01+101893APOSLP"
"04065099999","1916-01-11T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","360,1,N,0067,1","22000,1,C,N","999999,9,N,9","-0039,1","+9999,9","10260,1","04,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,-0072,1",
"04065099999","1916-01-11T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","360,1,N,0067,1","99999,9,9,N","999999,9,N,9","-0028,1","+9999,9","10211,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",,
"04065099999","1916-01-11T21:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","110,1,N,0093,1","99999,9,9,N","999999,9,N,9","-0022,1","+9999,9","10139,1","07,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,-0011,1",
"04065099999","1916-01-12T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","070,1,N,0123,1","99999,9,9,N","999999,9,N,9","-0022,1","+9999,9","10062,1","07,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,-0039,1",
"04065099999","1916-01-12T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","070,1,N,0123,1","99999,9,9,N","999999,9,N,9","-0039,1","+9999,9","10124,1","07,99,1,99,9,99,9,99999,9,99,9,99,9",,
"04065099999","1916-01-12T21:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","070,1,N,0123,1","99999,9,9,N","999999,9,N,9","-0039,1","+9999,9","10217,2","07,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,-0011,1","Q01+102173APOSLP"
"04065099999","1916-01-13T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","999999,9,N,9","-0050,1","+9999,9","10253,1","06,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,-0061,1",
"04065099999","1916-01-13T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","999999,9,N,9","-0039,1","+9999,9","10185,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",,
"04065099999","1916-01-13T21:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","999999,9,N,9","-0028,1","+9999,9","10073,2","06,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0000,1","Q01+100733APOSLP"
"04065099999","1916-01-14T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","290,1,N,0067,1","99999,9,9,N","999999,9,N,9","+0000,1","+9999,9","09877,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,-0050,1",
"04065099999","1916-01-14T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","290,1,N,0093,1","99999,9,9,N","999999,9,N,9","-0011,1","+9999,9","09836,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"04065099999","1916-01-14T21:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","360,1,N,0123,1","99999,9,9,N","999999,9,N,9","-0022,1","+9999,9","09899,1","06,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0000,1",
"04065099999","1916-01-15T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","070,1,N,0067,1","99999,9,9,N","999999,9,N,9","-0050,1","+9999,9","10091,1","06,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,-0061,1",
"04065099999","1916-01-15T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","070,1,N,0067,1","99999,9,9,N","999999,9,N,9","-0061,1","+9999,9","10079,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",,
"04065099999","1916-01-15T21:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","070,1,N,0093,1","99999,9,9,N","999999,9,N,9","-0039,1","+9999,9","10027,1","06,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0000,1",
"04065099999","1916-01-16T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","070,1,N,0026,1","22000,1,C,N","999999,9,N,9","+0000,1","+9999,9","09995,1","02,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,-0072,1",
"04065099999","1916-01-16T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","070,1,N,0026,1","22000,1,C,N","999999,9,N,9","-0022,1","+9999,9","10007,1","04,99,1,99,9,99,9,99999,9,99,9,99,9",,
